Entity,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,23.95875,23.993708,24.047398,24.126242,24.241276,24.345615,24.422707,24.445204,24.379631,24.191954,23.875813,23.449823,22.898342,22.240417,21.489124,20.655226,19.75799,18.80888,17.784328,16.636528,15.316614,13.777689,12.0400095,10.2941265,8.727727,7.444625,6.483445,5.8450246,5.451521,5.2230043,5.10204,5.0398364,4.9955626,4.9503374,4.88774,4.8028574,4.6973324,4.579905,4.454683,4.3155212,4.16965,4.0119114,3.8539467,3.6928608,3.5331988,3.379765,3.234698,3.100453,2.9796133,2.8728683,2.7820969,2.7089229,2.650102,2.6045563,2.5667875,2.530254,2.4910727,2.4472413,2.3980355,2.346064,2.2910445,2.2337608,2.175275
Morocco,24.319239,23.82703,23.327806,22.81833,22.280731,21.724058,21.145985,20.579304,20.028812,19.50894,19.0555,18.630318,18.23622,17.831856,17.374117,16.84171,16.242031,15.580872,14.874832,14.162237,13.468626,12.786242,12.130873,11.500189,10.901007,10.331014,9.797369,9.30761,8.860853,8.454274,8.079669,7.7299576,7.4001784,7.087705,6.7851286,6.49232,6.2110505,5.9455066,5.696427,5.4615097,5.235202,5.020534,4.8009295,4.5886583,4.370882,4.1508627,3.931062,3.7137687,3.5047684,3.307776,3.1192317,2.9444866,2.7808266,2.6245565,2.4804318,2.3465912,2.2269719,2.1221282,2.027061,1.9425436,1.8630698,1.7946991,1.7261927
