ObjectId,Country Name,Unit,Change ,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
3,Algeria,Degree Celsius,Surface Temperature Change,0.114,-0.38,-0.342,-0.028,-0.502,-0.554,-0.817,0.519,0.029,0.661,0.214,0.2,0.388,0.576,0.007,0.513,0.299,0.99,1.346,0.386,1.27,0.034,-0.318,0.541,0.72,0.583,0.823,1.018,1.077,1.456,0.798,1.827,1.222,1.567,0.964,1.238,1.373,1.198,1.164,0.927,2.249,1.39,1.128,1.173,1.676,1.101,1.736,1.498,1.211,1.094,1.913,2.317
137,Morocco,Degree Celsius,Surface Temperature Change,0.065,-0.799,-1.32,0.059,-0.431,-0.21,-0.818,0.087,0.363,0.497,0.593,0.495,0.484,0.782,0.268,0.854,0.234,1.077,0.992,0.686,1.415,0.148,0.232,0.219,1.051,1.214,0.963,1.291,1.573,1.099,0.956,1.84,1.194,1.685,1.119,1.27,1.472,1.013,1.151,1.251,2.117,1.789,1.393,1.311,1.711,1.24,1.968,2.276,0.685,1.578,2.188,1.882
